Start,Finish,Heart Rate (count/min),Steps (count)
1/3/19 0:00,1/3/19 1:00,0,0
1/3/19 1:00,1/3/19 2:00,0,0
1/3/19 2:00,1/3/19 3:00,0,0
1/3/19 3:00,1/3/19 4:00,0,0
1/3/19 4:00,1/3/19 5:00,0,0
1/3/19 5:00,1/3/19 6:00,0,0
1/3/19 6:00,1/3/19 7:00,98,326
1/3/19 7:00,1/3/19 8:00,75,27
1/3/19 8:00,1/3/19 9:00,120,772
1/3/19 9:00,1/3/19 10:00,117,560.7089886
1/3/19 10:00,1/3/19 11:00,114,262.2910114
1/3/19 11:00,1/3/19 12:00,89,52
1/3/19 12:00,1/3/19 13:00,108,1511
1/3/19 13:00,1/3/19 14:00,104,34
1/3/19 14:00,1/3/19 15:00,105,319
1/3/19 15:00,1/3/19 16:00,109,165.0288474
1/3/19 16:00,1/3/19 17:00,113,767.9711526
1/3/19 17:00,1/3/19 18:00,122,653
1/3/19 18:00,1/3/19 19:00,103,441.7054726
1/3/19 19:00,1/3/19 20:00,95.40372467,139.6266788
1/3/19 20:00,1/3/19 21:00,0,2.056896097
1/3/19 21:00,1/3/19 22:00,0,2.056896097
1/3/19 22:00,1/3/19 23:00,0,2.056896097
1/3/19 23:00,2/3/19 0:00,0,2.056896097
2/3/19 0:00,2/3/19 1:00,0,2.056896097
2/3/19 1:00,2/3/19 2:00,0,2.056896097
2/3/19 2:00,2/3/19 3:00,0,2.056896097
2/3/19 3:00,2/3/19 4:00,0,2.056896097
2/3/19 4:00,2/3/19 5:00,0,2.056896097
2/3/19 5:00,2/3/19 6:00,0,2.056896097
2/3/19 6:00,2/3/19 7:00,0,2.056896097
2/3/19 7:00,2/3/19 8:00,0,2.056896097
2/3/19 8:00,2/3/19 9:00,0,2.056896097
2/3/19 9:00,2/3/19 10:00,0,2.056896097
2/3/19 10:00,2/3/19 11:00,0,2.056896097
2/3/19 11:00,2/3/19 12:00,0,2.056896097
2/3/19 12:00,2/3/19 13:00,0,2.056896097
2/3/19 13:00,2/3/19 14:00,0,2.056896097
2/3/19 14:00,2/3/19 15:00,0,2.056896097
2/3/19 15:00,2/3/19 16:00,0,2.056896097
2/3/19 16:00,2/3/19 17:00,0,2.056896097
2/3/19 17:00,2/3/19 18:00,0,2.056896097
2/3/19 18:00,2/3/19 19:00,0,2.056896097
2/3/19 19:00,2/3/19 20:00,0,2.056896097
2/3/19 20:00,2/3/19 21:00,0,2.056896097
2/3/19 21:00,2/3/19 22:00,0,2.056896097
2/3/19 22:00,2/3/19 23:00,0,2.056896097
2/3/19 23:00,3/3/19 0:00,0,2.056896097
3/3/19 0:00,3/3/19 1:00,0,2.056896097
3/3/19 1:00,3/3/19 2:00,0,2.056896097
3/3/19 2:00,3/3/19 3:00,0,2.056896097
3/3/19 3:00,3/3/19 4:00,0,2.056896097
3/3/19 4:00,3/3/19 5:00,0,2.056896097
3/3/19 5:00,3/3/19 6:00,0,2.056896097
3/3/19 6:00,3/3/19 7:00,0,2.056896097
3/3/19 7:00,3/3/19 8:00,0,2.056896097
3/3/19 8:00,3/3/19 9:00,0,2.056896097
3/3/19 9:00,3/3/19 10:00,0,2.056896097
3/3/19 10:00,3/3/19 11:00,0,2.056896097
3/3/19 11:00,3/3/19 12:00,0,2.056896097
3/3/19 12:00,3/3/19 13:00,0,2.056896097
3/3/19 13:00,3/3/19 14:00,0,2.056896097
3/3/19 14:00,3/3/19 15:00,0,2.056896097
3/3/19 15:00,3/3/19 16:00,0,2.056896097
3/3/19 16:00,3/3/19 17:00,107,36.86989292
3/3/19 17:00,3/3/19 18:00,100,183.0107545
3/3/19 18:00,3/3/19 19:00,102,592.9892455
3/3/19 19:00,3/3/19 20:00,109,330
3/3/19 20:00,3/3/19 21:00,0,209
3/3/19 21:00,3/3/19 22:00,0,733.2644703
3/3/19 22:00,3/3/19 23:00,0,330.7355297
3/3/19 23:00,4/3/19 0:00,0,29
4/3/19 0:00,4/3/19 1:00,0,0
4/3/19 1:00,4/3/19 2:00,0,0
4/3/19 2:00,4/3/19 3:00,0,0
4/3/19 3:00,4/3/19 4:00,0,0
4/3/19 4:00,4/3/19 5:00,0,0
4/3/19 5:00,4/3/19 6:00,0,0
4/3/19 6:00,4/3/19 7:00,119,531
4/3/19 7:00,4/3/19 8:00,74,549.3570306
4/3/19 8:00,4/3/19 9:00,86,167.6429694
4/3/19 9:00,4/3/19 10:00,88,99
4/3/19 10:00,4/3/19 11:00,105,1032
4/3/19 11:00,4/3/19 12:00,122,1439.499395
4/3/19 12:00,4/3/19 13:00,122,2576.989062
4/3/19 13:00,4/3/19 14:00,112,3453.275132
4/3/19 14:00,4/3/19 15:00,106,387.236412
4/3/19 15:00,4/3/19 16:00,92,141
4/3/19 16:00,4/3/19 17:00,85,28
4/3/19 17:00,4/3/19 18:00,80,39
4/3/19 18:00,4/3/19 19:00,111,449
4/3/19 19:00,4/3/19 20:00,94,144
4/3/19 20:00,4/3/19 21:00,108,523
4/3/19 21:00,4/3/19 22:00,96,901
4/3/19 22:00,4/3/19 23:00,99,631.998545
4/3/19 23:00,5/3/19 0:00,91,1034.79214
5/3/19 0:00,5/3/19 1:00,0,26.20931473
5/3/19 1:00,5/3/19 2:00,0,0
5/3/19 2:00,5/3/19 3:00,0,0
5/3/19 3:00,5/3/19 4:00,0,0
5/3/19 4:00,5/3/19 5:00,0,0
5/3/19 5:00,5/3/19 6:00,0,0
5/3/19 6:00,5/3/19 7:00,73,121
5/3/19 7:00,5/3/19 8:00,94,89
5/3/19 8:00,5/3/19 9:00,122,1132.883621
5/3/19 9:00,5/3/19 10:00,120,1744.538246
5/3/19 10:00,5/3/19 11:00,136,2886.578133
5/3/19 11:00,5/3/19 12:00,96,689
5/3/19 12:00,5/3/19 13:00,107,838.8823235
5/3/19 13:00,5/3/19 14:00,121,926.1176765
5/3/19 14:00,5/3/19 15:00,95,291
5/3/19 15:00,5/3/19 16:00,126,570
5/3/19 16:00,5/3/19 17:00,119,568
5/3/19 17:00,5/3/19 18:00,89,277
5/3/19 18:00,5/3/19 19:00,100,623
5/3/19 19:00,5/3/19 20:00,105,948.253029
5/3/19 20:00,5/3/19 21:00,122,494.746971
5/3/19 21:00,5/3/19 22:00,114,826.746707
5/3/19 22:00,5/3/19 23:00,107,820.7093107
5/3/19 23:00,6/3/19 0:00,90,715.5439822
6/3/19 0:00,6/3/19 1:00,73,0
6/3/19 1:00,6/3/19 2:00,0,0
6/3/19 2:00,6/3/19 3:00,0,0
6/3/19 3:00,6/3/19 4:00,0,0
6/3/19 4:00,6/3/19 5:00,0,0
6/3/19 5:00,6/3/19 6:00,0,0
6/3/19 6:00,6/3/19 7:00,0,0
6/3/19 7:00,6/3/19 8:00,0,0
6/3/19 8:00,6/3/19 9:00,107,227
6/3/19 9:00,6/3/19 10:00,119,664.56026
6/3/19 10:00,6/3/19 11:00,91,264.43974
6/3/19 11:00,6/3/19 12:00,143,1948.87913
6/3/19 12:00,6/3/19 13:00,126,1632.096591
6/3/19 13:00,6/3/19 14:00,131,1914.877093
6/3/19 14:00,6/3/19 15:00,99.41851807,1058.293387
6/3/19 15:00,6/3/19 16:00,118,1702.908465
6/3/19 16:00,6/3/19 17:00,94,369
6/3/19 17:00,6/3/19 18:00,87,204
6/3/19 18:00,6/3/19 19:00,84,1611
6/3/19 19:00,6/3/19 20:00,85,668
6/3/19 20:00,6/3/19 21:00,90,832
6/3/19 21:00,6/3/19 22:00,97,353
6/3/19 22:00,6/3/19 23:00,121,1035.924135
6/3/19 23:00,7/3/19 0:00,146,979.0758646
7/3/19 0:00,7/3/19 1:00,95,555.561519
7/3/19 1:00,7/3/19 2:00,97,490.438481
7/3/19 2:00,7/3/19 3:00,0,0
7/3/19 3:00,7/3/19 4:00,0,0
7/3/19 4:00,7/3/19 5:00,0,0
7/3/19 5:00,7/3/19 6:00,0,0
7/3/19 6:00,7/3/19 7:00,0,0
7/3/19 7:00,7/3/19 8:00,103,513
7/3/19 8:00,7/3/19 9:00,129,1346.106425
7/3/19 9:00,7/3/19 10:00,138,1543.893575
7/3/19 10:00,7/3/19 11:00,106,1481
7/3/19 11:00,7/3/19 12:00,104,1504
7/3/19 12:00,7/3/19 13:00,114,1539
7/3/19 13:00,7/3/19 14:00,121,2154.573619
7/3/19 14:00,7/3/19 15:00,121,3069.426381
7/3/19 15:00,7/3/19 16:00,107,290
7/3/19 16:00,7/3/19 17:00,108,590.4524039
7/3/19 17:00,7/3/19 18:00,105,805.5475961
7/3/19 18:00,7/3/19 19:00,99,1360.856305
7/3/19 19:00,7/3/19 20:00,107,539.7837072
7/3/19 20:00,7/3/19 21:00,117,521.9457439
7/3/19 21:00,7/3/19 22:00,107,598.4142439
7/3/19 22:00,7/3/19 23:00,105,1103.196714
7/3/19 23:00,8/3/19 0:00,92,837.803286
8/3/19 0:00,8/3/19 1:00,99,8
8/3/19 1:00,8/3/19 2:00,0,0
8/3/19 2:00,8/3/19 3:00,0,0
8/3/19 3:00,8/3/19 4:00,0,0
8/3/19 4:00,8/3/19 5:00,0,0
8/3/19 5:00,8/3/19 6:00,0,0
8/3/19 6:00,8/3/19 7:00,0,0
8/3/19 7:00,8/3/19 8:00,0,0
8/3/19 8:00,8/3/19 9:00,88,181
8/3/19 9:00,8/3/19 10:00,91,1120
8/3/19 10:00,8/3/19 11:00,107,256
8/3/19 11:00,8/3/19 12:00,107,734.1832039
8/3/19 12:00,8/3/19 13:00,87,56
8/3/19 13:00,8/3/19 14:00,104,976
8/3/19 14:00,8/3/19 15:00,90,1807
8/3/19 15:00,8/3/19 16:00,0,979
8/3/19 16:00,8/3/19 17:00,0,631.1951393
8/3/19 17:00,8/3/19 18:00,0,33.80486071
8/3/19 18:00,8/3/19 19:00,0,205
8/3/19 19:00,8/3/19 20:00,0,1.016137308
8/3/19 20:00,8/3/19 21:00,0,228.9838627
8/3/19 21:00,8/3/19 22:00,0,9.78361139
8/3/19 22:00,8/3/19 23:00,0,635.2163886
8/3/19 23:00,9/3/19 0:00,0,34
9/3/19 0:00,9/3/19 1:00,0,43
9/3/19 1:00,9/3/19 2:00,0,0
9/3/19 2:00,9/3/19 3:00,0,0
9/3/19 3:00,9/3/19 4:00,0,0
9/3/19 4:00,9/3/19 5:00,0,0
9/3/19 5:00,9/3/19 6:00,0,0
9/3/19 6:00,9/3/19 7:00,0,248
9/3/19 7:00,9/3/19 8:00,0,121
9/3/19 8:00,9/3/19 9:00,0,0
9/3/19 9:00,9/3/19 10:00,0,16
9/3/19 10:00,9/3/19 11:00,118,673
9/3/19 11:00,9/3/19 12:00,130,998
9/3/19 12:00,9/3/19 13:00,105,1075.321986
9/3/19 13:00,9/3/19 14:00,114,396.6780137
9/3/19 14:00,9/3/19 15:00,100,1214.214249
9/3/19 15:00,9/3/19 16:00,108,942.3708654
9/3/19 16:00,9/3/19 17:00,89,459.4148858
9/3/19 17:00,9/3/19 18:00,88,566.0336371
9/3/19 18:00,9/3/19 19:00,84,1158.966363
9/3/19 19:00,9/3/19 20:00,89,357
9/3/19 20:00,9/3/19 21:00,88,51
9/3/19 21:00,9/3/19 22:00,86,271
9/3/19 22:00,9/3/19 23:00,86,516
