Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion),Steps (average per min)
2018-03-12T00:00:00.000Z,1,24,1440,0.003482217,1,0,1,0,0,0,0
2018-03-12T01:00:00.000Z,2,48,2880,0.00338695,1,0,1,0,0,0,0
2018-03-12T02:00:00.000Z,3,72,4320,0.003436367,1,0,1,0,0,0,0
2018-03-12T03:00:00.000Z,4,96,5760,0.003386217,1,0,1,0,0,0,0
2018-03-12T04:00:00.000Z,5,120,7200,0.003322717,1,0,1,0,0,0,0
2018-03-12T05:00:00.000Z,6,144,8640,0.003226183,1,0.5,1,0,0,0,0
2018-03-12T06:00:00.000Z,7,168,10080,0.003058833,0.888888889,0,1,0,0,0,0
2018-03-12T07:00:00.000Z,8,192,11520,0.003022533,1,0,1,0,0,0,0
2018-03-12T08:00:00.000Z,9,216,12960,0.003202717,0.983606557,0.5,1,0,0,0,0
2018-03-12T09:00:00.000Z,10,240,14400,0.063183333,0.016666667,1,0.683333333,0.083333333,0.233333333,0,24.95
2018-03-12T10:00:00.000Z,11,264,15840,0.081629766,0,1,0.55,0.25,0.2,0,32.73333333
2018-03-12T11:00:00.000Z,12,288,17280,0.07419955,0,1,0.416666667,0.483333333,0.1,0,26.2
2018-03-12T12:00:00.000Z,13,312,18720,0.043699083,0,1,0.883333333,0.083333333,0.033333333,0,13.01666667
2018-03-12T13:00:00.000Z,14,336,20160,0.051872433,0,1,0.85,0.05,0.1,0,16.01666667
2018-03-12T14:00:00.000Z,15,360,21600,0.03202985,0,1,0.95,0.05,0,0,7.283333333
2018-03-12T15:00:00.000Z,16,384,23040,0.030526717,0.213114754,1,1,0,0,0,5.266666667
2018-03-12T16:00:00.000Z,17,408,24480,0.091038517,0,1,0.516666667,0.233333333,0.25,0,38.71666667
2018-03-12T17:00:00.000Z,18,432,25920,0.109622034,0,1,0.466666667,0.133333333,0.4,0,48.86666667
2018-03-12T18:00:00.000Z,19,456,27360,0.081969583,0,1,0.633333333,0.083333333,0.283333333,0,40.7
2018-03-12T19:00:00.000Z,20,480,28800,0.160706216,0,1,0.316666667,0.1,0.516666667,0.066666667,54.26666667
2018-03-12T20:00:00.000Z,21,504,30240,0.138358284,0,1,0.3,0.183333333,0.466666667,0.05,49.71666667
2018-03-12T21:00:00.000Z,22,528,31680,0.113243634,0,1,0.35,0.166666667,0.483333333,0,37.45
2018-03-12T22:00:00.000Z,23,552,33120,0.033773383,0,1,0.983333333,0.016666667,0,0,6.883333333
2018-03-12T23:00:00.000Z,24,576,34560,0.011125133,0.9,1,0.933333333,0.033333333,0.033333333,0,2.883333333
2018-03-13T00:00:00.000Z,25,600,36000,0.00272685,1,0,1,0,0,0,0
2018-03-13T01:00:00.000Z,26,624,37440,0.00277705,1,0,1,0,0,0,0
2018-03-13T02:00:00.000Z,27,648,38880,0.002759083,1,0,1,0,0,0,0
2018-03-13T03:00:00.000Z,28,672,40320,0.002760667,1,0,1,0,0,0,0
2018-03-13T04:00:00.000Z,29,696,41760,0.002733633,0.213114754,0,1,0,0,0,0
2018-03-13T05:00:00.000Z,30,720,43200,0.0028022,0,0,1,0,0,0,0
2018-03-13T06:00:00.000Z,31,744,44640,0.002806817,0.838709677,0,1,0,0,0,0
2018-03-13T07:00:00.000Z,32,768,46080,0.003063033,0.564516129,1,1,0,0,0,0
2018-03-13T08:00:00.000Z,33,792,47520,0.003932867,0.888888889,1,1,0,0,0,0
2018-03-13T09:00:00.000Z,34,816,48960,0.214811151,0.116666667,1,0.183333333,0.033333333,0.75,0.033333333,75.85
2018-03-13T10:00:00.000Z,35,840,50400,0.07025135,0,1,0.566666667,0.233333333,0.2,0,22.65
2018-03-13T11:00:00.000Z,36,864,51840,0.102750384,0,1,0.383333333,0.283333333,0.333333333,0,34.56666667
2018-03-13T12:00:00.000Z,37,888,53280,0.085934417,0,1,0.516666667,0.183333333,0.3,0,30.6
2018-03-13T13:00:00.000Z,38,912,54720,0.052024317,0,1,0.866666667,0.033333333,0.1,0,14.53333333
2018-03-13T14:00:00.000Z,39,936,56160,0.049903983,0,1,0.816666667,0.166666667,0.016666667,0,11.28333333
2018-03-13T15:00:00.000Z,40,960,57600,0.0758878,0,1,0.65,0.083333333,0.266666667,0,26.73333333
2018-03-13T16:00:00.000Z,41,984,59040,0.098248883,0,1,0.55,0.133333333,0.316666667,0,36.03333333
2018-03-13T17:00:00.000Z,42,1008,60480,0.1876195,0,1,0.166666667,0.1,0.733333333,0,74.9
2018-03-13T18:00:00.000Z,43,1032,61920,0.055885817,0.177419355,1,0.783333333,0.05,0.166666667,0,20.7
2018-03-13T19:00:00.000Z,44,1056,63360,0.037088983,0,1,0.916666667,0.016666667,0.066666667,0,12.33333333
2018-03-13T20:00:00.000Z,45,1080,64800,0.045641734,0,1,0.8,0.033333333,0.166666667,0,19.86666667
2018-03-13T21:00:00.000Z,46,1104,66240,0.094136,0,1,0.483333333,0.166666667,0.35,0,32.5
2018-03-13T22:00:00.000Z,47,1128,67680,0.085615416,0,1,0.5,0.116666667,0.383333333,0,24.13333333
2018-03-13T23:00:00.000Z,48,1152,69120,0.010449683,0.409836066,0.5,0.966666667,0,0.033333333,0,3.25
2018-03-14T00:00:00.000Z,49,1176,70560,0.00055895,0.983870968,0,1,0,0,0,0
