Start,Finish,Heart Rate (count/min),Steps (count)
25/3/19 0:00,25/3/19 1:00,94,118
25/3/19 1:00,25/3/19 2:00,0,0
25/3/19 2:00,25/3/19 3:00,0,0
25/3/19 3:00,25/3/19 4:00,0,0
25/3/19 4:00,25/3/19 5:00,0,0
25/3/19 5:00,25/3/19 6:00,0,0
25/3/19 6:00,25/3/19 7:00,0,0
25/3/19 7:00,25/3/19 8:00,0,0
25/3/19 8:00,25/3/19 9:00,101,271
25/3/19 9:00,25/3/19 10:00,126,1000
25/3/19 10:00,25/3/19 11:00,114,943
25/3/19 11:00,25/3/19 12:00,96,421
25/3/19 12:00,25/3/19 13:00,95,305
25/3/19 13:00,25/3/19 14:00,114,2522.672323
25/3/19 14:00,25/3/19 15:00,102,937.3276769
25/3/19 15:00,25/3/19 16:00,107,338
25/3/19 16:00,25/3/19 17:00,104,2281
25/3/19 17:00,25/3/19 18:00,87,185
25/3/19 18:00,25/3/19 19:00,0,0
25/3/19 19:00,25/3/19 20:00,0,0
25/3/19 20:00,25/3/19 21:00,0,45
25/3/19 21:00,25/3/19 22:00,0,43
25/3/19 22:00,25/3/19 23:00,0,0
25/3/19 23:00,26/3/19 0:00,0,0
26/3/19 0:00,26/3/19 1:00,0,0
26/3/19 1:00,26/3/19 2:00,0,0
26/3/19 2:00,26/3/19 3:00,0,0
26/3/19 3:00,26/3/19 4:00,0,0
26/3/19 4:00,26/3/19 5:00,0,0
26/3/19 5:00,26/3/19 6:00,0,0
26/3/19 6:00,26/3/19 7:00,0,0
26/3/19 7:00,26/3/19 8:00,0,0
26/3/19 8:00,26/3/19 9:00,0,38.85537193
26/3/19 9:00,26/3/19 10:00,123,650
26/3/19 10:00,26/3/19 11:00,91,84
26/3/19 11:00,26/3/19 12:00,105,220
26/3/19 12:00,26/3/19 13:00,106,281
26/3/19 13:00,26/3/19 14:00,104,132
26/3/19 14:00,26/3/19 15:00,98,43
26/3/19 15:00,26/3/19 16:00,99,52
26/3/19 16:00,26/3/19 17:00,95,436
26/3/19 17:00,26/3/19 18:00,122,1074
26/3/19 18:00,26/3/19 19:00,84,349
26/3/19 19:00,26/3/19 20:00,98,656
26/3/19 20:00,26/3/19 21:00,91,159
26/3/19 21:00,26/3/19 22:00,99,101
26/3/19 22:00,26/3/19 23:00,88,0
26/3/19 23:00,27/3/19 0:00,83,12
27/3/19 0:00,27/3/19 1:00,77,31
27/3/19 1:00,27/3/19 2:00,0,0
27/3/19 2:00,27/3/19 3:00,0,0
27/3/19 3:00,27/3/19 4:00,0,0
27/3/19 4:00,27/3/19 5:00,0,0
27/3/19 5:00,27/3/19 6:00,0,0
27/3/19 6:00,27/3/19 7:00,0,0
27/3/19 7:00,27/3/19 8:00,0,0
27/3/19 8:00,27/3/19 9:00,87,297
27/3/19 9:00,27/3/19 10:00,122,418
27/3/19 10:00,27/3/19 11:00,118,565.7217185
27/3/19 11:00,27/3/19 12:00,130,1927.134802
27/3/19 12:00,27/3/19 13:00,122,97.14347924
27/3/19 13:00,27/3/19 14:00,88,700
27/3/19 14:00,27/3/19 15:00,130,484
27/3/19 15:00,27/3/19 16:00,101,59.39224405
27/3/19 16:00,27/3/19 17:00,99,275.3895213
27/3/19 17:00,27/3/19 18:00,117,644.2182346
27/3/19 18:00,27/3/19 19:00,98,1042
27/3/19 19:00,27/3/19 20:00,79,491.075639
27/3/19 20:00,27/3/19 21:00,91,26.92436102
27/3/19 21:00,27/3/19 22:00,98,108.3975844
27/3/19 22:00,27/3/19 23:00,109,306.6024156
27/3/19 23:00,28/3/19 0:00,87,84
28/3/19 0:00,28/3/19 1:00,84,82
28/3/19 1:00,28/3/19 2:00,0,0
28/3/19 2:00,28/3/19 3:00,0,0
28/3/19 3:00,28/3/19 4:00,0,0
28/3/19 4:00,28/3/19 5:00,0,0
28/3/19 5:00,28/3/19 6:00,0,0
28/3/19 6:00,28/3/19 7:00,103,178
28/3/19 7:00,28/3/19 8:00,106,465
28/3/19 8:00,28/3/19 9:00,115,427
28/3/19 9:00,28/3/19 10:00,108,416
28/3/19 10:00,28/3/19 11:00,105,256
28/3/19 11:00,28/3/19 12:00,100,168.2477868
28/3/19 12:00,28/3/19 13:00,142,413.7522132
28/3/19 13:00,28/3/19 14:00,116,1222
28/3/19 14:00,28/3/19 15:00,99,24
28/3/19 15:00,28/3/19 16:00,101,256
28/3/19 16:00,28/3/19 17:00,94.81481171,1355.116199
28/3/19 17:00,28/3/19 18:00,86,171.8838009
28/3/19 18:00,28/3/19 19:00,97,276
28/3/19 19:00,28/3/19 20:00,94,91
28/3/19 20:00,28/3/19 21:00,93,5
28/3/19 21:00,28/3/19 22:00,97,206
28/3/19 22:00,28/3/19 23:00,0,0
28/3/19 23:00,29/3/19 0:00,0,0
29/3/19 0:00,29/3/19 1:00,0,0
29/3/19 1:00,29/3/19 2:00,0,0
29/3/19 2:00,29/3/19 3:00,0,0
29/3/19 3:00,29/3/19 4:00,0,0
29/3/19 4:00,29/3/19 5:00,0,0
29/3/19 5:00,29/3/19 6:00,0,0
29/3/19 6:00,29/3/19 7:00,89,323
