hourinweek,Female Mean Activity (g),Male Mean Activity (g),Female Asleep (proportion),Male Asleep (proportion),Female Steps (average per min),Male Steps (average per min),Female Sedentary Activity (proportion),Male Sedentary Activity (proportion),Female Light Activity (proportion),Male Light Activity (proportion),Female Moderate Activity (proportion),Male Moderate Activity (proportion),Female Vigorous Activity (proportion),Male Vigorous Activity (proportion)
0,0.013470077926866946,0.014409968956572478,0.416788327283303,0.4103640965953301,3.4540364583333334,3.341272965879265,0.96015625,0.9606955380577424,0.017578125,0.01686351706036744,0.02171223958333333,0.021981627296587904,0.0005533854166666667,0.00045931758530183726
1,0.008946353594194998,0.00993837723236266,0.5016079023511881,0.4793082685000544,2.1178385416666665,2.2379921259842512,0.9755859375,0.9744750656167976,0.011783854166666666,0.01017060367454068,0.01259765625,0.01522309711286088,0.00003255208333333333,0.00013123359580052493
2,0.005983490824587072,0.006002013342179887,0.5336998384571339,0.5512990951019904,1.1048177083333333,1.013057742782152,0.9882161458333332,0.9906167979002628,0.005403645833333333,0.004527559055118108,0.006380208333333333,0.004855643044619417,0,0
3,0.004751024251142034,0.004690403922184516,0.5514435862600163,0.5287316901944391,0.72822265625,0.6733595800524931,0.9942057291666668,0.994619422572179,0.0021158854166666665,0.00242782152230971,0.0036783854166666666,0.0029527559055118097,0,0
4,0.004480189259156691,0.004346671619758627,0.5329533417123483,0.5231471133563106,0.6641927083333333,0.6023622047244095,0.9949869791666668,0.9966535433070872,0.002278645833333333,0.001706036745406823,0.002734375,0.001640419947506561,0,0
5,0.006217654695648725,0.005368722700988573,0.5325541378676997,0.5312066619018972,1.2154947916666667,0.9919291338582674,0.9850911458333332,0.9886482939632554,0.006184895833333333,0.00597112860892388,0.00869140625,0.005380577427821518,0.00003255208333333333,0
6,0.017450108804568563,0.014151133270421916,0.4486594568873964,0.4640745428202296,4.61611328125,3.8646981627296575,0.9325520833333332,0.9468503937007872,0.024088541666666668,0.021062992125984236,0.04163411458333333,0.031627296587926505,0.0017252604166666666,0.00045931758530183726
7,0.03424676470514317,0.030596714911722517,0.3308992624986956,0.37386451781420593,10.769954427083333,9.465419947506565,0.8542643229166667,0.8780839895013121,0.04430338541666667,0.032414698162729634,0.09778645833333334,0.08766404199475057,0.003645833333333333,0.001837270341207349
8,0.04451967490169818,0.04128501924520509,0.24555921706915732,0.2899666601995808,15.220703125,13.30452755905512,0.80654296875,0.8314304461942255,0.0529296875,0.04232283464566926,0.13785807291666666,0.1238188976377952,0.0026692708333333334,0.002427821522309711
9,0.05248026451493533,0.052494435861301314,0.17741657047352327,0.1924488047027449,18.432905604888777,17.060554631866243,0.7881842064031004,0.806193748013085,0.04866270154159132,0.04063024435001091,0.1605755234194889,0.14845081392356846,0.002577568635819357,0.004725193713335631
10,0.04781824286447214,0.04751102831677526,0.1385801487722219,0.1862608564330152,16.531921043332247,15.388313433146717,0.8135367358137937,0.8361895012224091,0.04943615451501448,0.03815485761106971,0.1353777713732747,0.1232727052002949,0.0016493382979171692,0.002382935966226077
11,0.04568083729386891,0.04496170478275337,0.14438469374347462,0.1868419227746979,16.115099831318894,15.004608324079792,0.8266439449799383,0.8424408235899933,0.04460631175672378,0.03736755981536128,0.12675662071836716,0.11759101901907468,0.00199312254497048,0.002600597575570524
12,0.04571076492226575,0.04871420034090527,0.1285069551957662,0.15972223415426182,15.611233333333333,15.80471447543161,0.8342666666666666,0.8266268260292168,0.042866666666666685,0.04409030544488709,0.12126666666666668,0.12675962815405037,0.0016000000000000007,0.002523240371845948
13,0.058631134241794114,0.05834620586236807,0.12546107585505023,0.14084894301984774,20.74703307965389,19.617023668137413,0.7596121937530022,0.7696562818147948,0.06214945131838075,0.05593892519423165,0.17611032878960123,0.17254475797327043,0.002128026139015763,0.00186003501770314
14,0.04301457622886127,0.04283217933059767,0.15265550129134153,0.1545430621808634,14.694808201058205,13.69694555112882,0.8464947089947087,0.8511288180610889,0.04970238095238093,0.04654714475431603,0.10221560846560844,0.10039840637450193,0.0015873015873015873,0.0019256308100929608
