Date,Day,Hour,Minute,Mean Activity (g),Asleep (proportion),Wearing (proportion),Sedentary Activity (proportion),Light Activity (proportion),Moderate Activity (proportion),Vigorous Activity (proportion),Steps (average per min)
2018-03-12T00:00:00.000Z,0,0,0,0.004234333336353302,1,0,1,0,0,0,0
2018-03-12T01:00:00.000Z,0,1,60,0.004226333337525526,1,0,1,0,0,0,0
2018-03-12T02:00:00.000Z,0,2,120,0.00422710000226895,1,0,1,0,0,0,0
2018-03-12T03:00:00.000Z,0,3,180,0.00422798334620893,1,0,1,0,0,0,0
2018-03-12T04:00:00.000Z,0,4,240,0.00422445001701514,1,0,1,0,0,0,0
2018-03-12T05:00:00.000Z,0,5,300,0.004219866683706641,1,0,1,0,0,0,0
2018-03-12T06:00:00.000Z,0,6,360,0.004211766645312309,1,0,1,0,0,0,0
2018-03-12T07:00:00.000Z,0,7,420,0.0042142500091965,1,0,1,0,0,0,0
2018-03-12T08:00:00.000Z,0,8,480,0.03552251652193566,0.6065573770491803,0.5,0.7666666666666667,0.2,0.03333333333333333,0,12.066666666666666
2018-03-12T09:00:00.000Z,0,9,540,0.08929833323927597,0,1,0.6333333333333333,0.06666666666666667,0.2833333333333333,0.016666666666666666,37.03333333333333
2018-03-12T10:00:00.000Z,0,10,600,0.03923805015316854,0,1,0.85,0.1,0.05,0,14.3
2018-03-12T11:00:00.000Z,0,11,660,0.012973683327436447,0,1,1,0,0,0,2.2
2018-03-12T12:00:00.000Z,0,12,720,0.02496248327564293,0,1,0.9333333333333332,0.03333333333333333,0.03333333333333333,0,7.633333333333334
2018-03-12T13:00:00.000Z,0,13,780,0.0835928833965833,0,1,0.7166666666666667,0.06666666666666667,0.21666666666666667,0,27.98333333333333
2018-03-12T14:00:00.000Z,0,14,840,0.03208566657267511,0,1,0.9166666666666666,0.016666666666666666,0.06666666666666667,0,9.6
2018-03-12T15:00:00.000Z,0,15,900,0.06363503333705012,0,1,0.6166666666666667,0.16666666666666666,0.21666666666666667,0,19.75
2018-03-12T16:00:00.000Z,0,16,960,0.10829423371081552,0,1,0.5666666666666667,0.05,0.38333333333333336,0,42.4
2018-03-12T17:00:00.000Z,0,17,1020,0.03448050010483712,0,1,0.8833333333333333,0.05,0.06666666666666667,0,9.116666666666667
2018-03-12T18:00:00.000Z,0,18,1080,0.09011045034664372,0,1,0.6333333333333333,0.08333333333333333,0.2833333333333333,0,34.2
2018-03-12T19:00:00.000Z,0,19,1140,0.05801600012928247,0,1,0.75,0.11666666666666668,0.13333333333333333,0,22.016666666666666
2018-03-12T20:00:00.000Z,0,20,1200,0.02755630012446393,0,1,0.8833333333333333,0.08333333333333333,0.03333333333333333,0,9.416666666666666
2018-03-12T21:00:00.000Z,0,21,1260,0.024131300040365507,0,1,0.9666666666666668,0.016666666666666666,0.016666666666666666,0,8.7
2018-03-12T22:00:00.000Z,0,22,1320,0.027999650058336555,0,1,0.95,0.016666666666666666,0.03333333333333333,0,10.016666666666667
2018-03-12T23:00:00.000Z,0,23,1380,0.01749171667615883,0,1,1,0,0,0,4.616666666666666
2018-03-13T00:00:00.000Z,1,24,1440,0.013786366570275276,0.31666666666666665,0.5,0.9333333333333332,0.05,0.016666666666666666,0,5.5
2018-03-13T01:00:00.000Z,1,25,1500,0.000815516667595754,1,0,1,0,0,0,0
2018-03-13T02:00:00.000Z,1,26,1560,0.0008280333364382386,1,0,1,0,0,0,0
2018-03-13T03:00:00.000Z,1,27,1620,0.0007950666680699214,1,0,1,0,0,0,0
2018-03-13T04:00:00.000Z,1,28,1680,0.0007449666639634719,1,0,1,0,0,0,0
2018-03-13T05:00:00.000Z,1,29,1740,0.000743666667646418,1,0,1,0,0,0,0
2018-03-13T06:00:00.000Z,1,30,1800,0.0007080500004425024,1,0,1,0,0,0,0
2018-03-13T07:00:00.000Z,1,31,1860,0.0007385333369408424,1,0,1,0,0,0,0
2018-03-13T08:00:00.000Z,1,32,1920,0.04668698372067107,0.4426229508196721,1,0.7666666666666667,0.15,0.06666666666666667,0.016666666666666666,17.75
2018-03-13T09:00:00.000Z,1,33,1980,0.08638848378323019,0,1,0.6833333333333333,0.016666666666666666,0.3,0,33.083333333333336
2018-03-13T10:00:00.000Z,1,34,2040,0.0317718331158782,0,1,0.9166666666666666,0.03333333333333333,0.05,0,10.383333333333333
2018-03-13T11:00:00.000Z,1,35,2100,0.02740540010854602,0,1,0.9833333333333332,0.016666666666666666,0,0,9.433333333333334
2018-03-13T12:00:00.000Z,1,36,2160,0.12891375057709714,0,1,0.45,0.05,0.5,0,49.53333333333333
2018-03-13T13:00:00.000Z,1,37,2220,0.02320829982248445,0,1,0.95,0,0.05,0,6.883333333333334
2018-03-13T14:00:00.000Z,1,38,2280,0.018632099924919505,0,1,0.9833333333333332,0,0.016666666666666666,0,4.583333333333333
2018-03-13T15:00:00.000Z,1,39,2340,0.04285484974194939,0,1,0.8166666666666667,0.03333333333333333,0.15,0,16.516666666666666
2018-03-13T16:00:00.000Z,1,40,2400,0.02414686681004241,0,1,0.9,0.1,0,0,6.4
2018-03-13T17:00:00.000Z,1,41,2460,0.09892623297443302,0,1,0.55,0.06666666666666667,0.38333333333333336,0,38.8
2018-03-13T18:00:00.000Z,1,42,2520,0.05025125000781069,0,1,0.8,0.06666666666666667,0.13333333333333333,0,21
2018-03-13T19:00:00.000Z,1,43,2580,0.048340416618157175,0,1,0.8333333333333334,0.1,0.06666666666666667,0,20.716666666666665
2018-03-13T20:00:00.000Z,1,44,2640,0.02283418334942932,0,1,0.9666666666666668,0.016666666666666666,0.016666666666666666,0,7
2018-03-13T21:00:00.000Z,1,45,2700,0.022136050142580643,0,1,0.9833333333333332,0.016666666666666666,0,0,5.15
2018-03-13T22:00:00.000Z,1,46,2760,0.0565088000226145,0,1,0.85,0.03333333333333333,0.11666666666666668,0,16.8
2018-03-13T23:00:00.000Z,1,47,2820,0.06487705033893386,0,1,0.8333333333333334,0.11666666666666668,0.05,0,25.25
2018-03-14T00:00:00.000Z,2,48,2880,0.012876633389896596,0.4098360655737705,0.5,0.9666666666666668,0.03333333333333333,0,0,4.966666666666667
2018-03-14T01:00:00.000Z,2,49,2940,0.0004161999997450039,1,0,1,0,0,0,0
2018-03-14T02:00:00.000Z,2,50,3000,0.0003681333332982225,1,0,1,0,0,0,0
2018-03-14T03:00:00.000Z,2,51,3060,0.0003551500010265348,1,0,1,0,0,0,0
2018-03-14T04:00:00.000Z,2,52,3120,0.0003280999992663661,1,0,1,0,0,0,0
2018-03-14T05:00:00.000Z,2,53,3180,0.0003076166671235114,1,0,1,0,0,0,0
2018-03-14T06:00:00.000Z,2,54,3240,0.000302100001135841,1,0,1,0,0,0,0
2018-03-14T07:00:00.000Z,2,55,3300,0.00032624999876134096,1,0,1,0,0,0,0
2018-03-14T08:00:00.000Z,2,56,3360,0.023364583414998683,0.05,1,0.95,0.05,0,0,8.433333333333334
2018-03-14T09:00:00.000Z,2,57,3420,0.05604535006374742,0.16393442622950818,1,0.75,0.16666666666666666,0.08333333333333333,0,20.28333333333333
2018-03-14T10:00:00.000Z,2,58,3480,0.08255631694725404,0,1,0.6833333333333333,0.13333333333333333,0.1833333333333333,0,28.6
2018-03-14T11:00:00.000Z,2,59,3540,0.014554133161436769,0,1,0.9666666666666668,0.03333333333333333,0,0,4.383333333333334
2018-03-14T12:00:00.000Z,2,60,3600,0.04452334962940464,0,1,0.9,0.03333333333333333,0.06666666666666667,0,15.733333333333333
2018-03-14T13:00:00.000Z,2,61,3660,0.04251618322450668,0,1,0.8666666666666667,0.016666666666666666,0.11666666666666668,0,13.166666666666666
2018-03-14T14:00:00.000Z,2,62,3720,0.028914783239209405,0,1,0.9333333333333332,0.03333333333333333,0.03333333333333333,0,10.283333333333331
2018-03-14T15:00:00.000Z,2,63,3780,0.02878061650941769,0,1,0.9166666666666666,0.03333333333333333,0.05,0,10.266666666666667
2018-03-14T16:00:00.000Z,2,64,3840,0.04809239989457031,0,1,0.7833333333333333,0.1,0.11666666666666668,0,18
2018-03-14T17:00:00.000Z,2,65,3900,0.05809836677508429,0,1,0.7333333333333333,0.11666666666666668,0.15,0,22.53333333333333
2018-03-14T18:00:00.000Z,2,66,3960,0.0554213833451892,0,1,0.7166666666666667,0.1833333333333333,0.1,0,17.8
2018-03-14T19:00:00.000Z,2,67,4020,0.07872701636515558,0,1,0.6333333333333333,0.1,0.26666666666666666,0,28.4
2018-03-14T20:00:00.000Z,2,68,4080,0.07543363317769641,0,1,0.5833333333333334,0.16666666666666666,0.25,0,27.15
2018-03-14T21:00:00.000Z,2,69,4140,0.022125166437520723,0.4032258064516129,0.5,0.95,0.016666666666666666,0.03333333333333333,0,8.566666666666666
2018-03-14T22:00:00.000Z,2,70,4200,0.0006581166671821848,0.2833333333333333,0,1,0,0,0,0
2018-03-14T23:00:00.000Z,2,71,4260,0.0040764333538390925,0.6065573770491803,0.5,0.9833333333333332,0,0.016666666666666666,0,1.1833333333333331
2018-03-15T00:00:00.000Z,3,72,4320,0.00011441666695949,0.8095238095238095,0.5,1,0,0,0,0
2018-03-15T01:00:00.000Z,3,73,4380,0.00010654999987309564,1,0,1,0,0,0,0
2018-03-15T02:00:00.000Z,3,74,4440,0.00010239999980209784,1,0,1,0,0,0,0
2018-03-15T03:00:00.000Z,3,75,4500,0.00010083333363581914,1,0,1,0,0,0,0
2018-03-15T04:00:00.000Z,3,76,4560,0.00010775000046123752,1,0,1,0,0,0,0
2018-03-15T05:00:00.000Z,3,77,4620,0.00010706666677530544,1,0,1,0,0,0,0
